,guid,english,greek,n_s,n_p,a_s,a_p,g_s,g_p,gender,tag,sub tag 1,sub tag 2
0,w]qJY!`5)6,adult (f),ενήλικη,η,ες,η,ες,ης,ών,feminine,person,,
1,C&8M86~.&c,adult (m),ενήλικος,ος,οι,ο,ους,ου,ων,masculine,person,,
2,PJY2pf9k3y,afternoon,απόγευμα,α,ατα,α,ατα,ατος,άτων,neuter,time,day,
3,Eg]}g(hx:7,age,ηλικία,α,ες,α,ες,ας,ών,feminine,,,
4,n7P6t6Rm3T,airplane,αεροπλάνο,ο,α,ο,α,ου,ων,neuter,transport,,
5,hoIF0nrwZM,airport,αεροδρόμιο,ο,α,ο,α,ου,ων,neuter,transport,,
6,hL)cxICf?2,alarm clock,ξυπνητήρι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,bedroom
7,Q;{?xp}{RZ,ankle,αστράγαλος,ος,οι,ο,ους,ου,ων,masculine,body,,
8,KgYjwbo2vK,apple,μήλο,ο,α,ο,α,ου,ων,neuter,food,fruit,
9,h##6:U;ijo,April,Απρίλιος,ος,οι,ο,ους,ου,ων,masculine,time,months,
10,7ZNEuFeJhP,attic,σοφίτα,α,ες,α,ες,ας,ών,feminine,home,area,
11,jN?cq#t?)=,August,Αύγουστος,ος,οι,ο,ους,ου,ων,masculine,time,months,
12,fFK9wwqv~j,aunt,θεία,α,ες,α,ες,ας,ών,feminine,person,,
13,9411G0wLqE,avocado ,αβοκάντο,ο,α,ο,α,ου,ων,neuter,food,fruit,
14,A6uu0:tGUE,baby,μωρό,ό,ά,ό,ά,ού,ών,neuter,person,,
15,p>kN9!S>&y,back (of body),πλάτη,η,ες,η,ες,ης,ών,feminine,body,,
16,k4uRhF{PJE,backpack,σακίδιο,ο,α,ο,α,ου,ων,neuter,school,,
17,rg8bjhXKY~,bag,τσάντα,α,ες,α,ες,ας,ών,feminine,school,,
18,HiOSt2G6rk,banana ,μπανάνα,α,ες,α,ες,ας,ών,feminine,food,fruit,
19,2MyL17fcBL,bank,τράπεζα,α,ες,αν,ες,ας,ών,feminine,city,buildings,
20,qy3mobyPmX,"basement, cellar ",υπόγειο,ο,α,ο,α,ου,ων,neuter,home,area,
21,TSTc4QL80b,bathroom ,τουαλέτα,α,ες,α,ες,ας,ών,feminine,home,area,
22,lf0z3FKV4t,"beach, coast, shore",παραλία,α,ες,α,ες,ας,ών,feminine,nature ,,
23,RNQu1KMdEO,bean,φασόλι,ι,ια,ι,ια,ιού,ιών,neuter,food,,
24,XRpszBkuV4,bear,αρκούδα,α,ες,α,ες,ας,ων,feminine,animal,,
25,"h,H37fQ/Wp",bed,κρεβάτι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,bedroom
26,bRc3AtLz1K,bedroom,υπνοδωμάτιο,ο,α,ο,α,ου,ων,neuter,home,area,
27,dkgF5H1ejb,bee,μέλισσα,α,ες,α,ες,ας,ών,feminine,animal,insect,
28,xpL!^dU5WW,bell,καμπάνα,α,ες,α,ες,ας,ών,feminine,,,
29,iOfRyPa_B?,belt,ζώνη,η,ες,η,ες,ης,ών,feminine,clothing,,
30,ipX;ZL|NKs,best man,κουμπάρος,ος,οι,ο,ους,ου,ων,masculine,person,,
31,EmdG*wfWi~,best woman,κουμπάρα,α,ες,α,ες,ας,ών,feminine,person,,
32,7dN5qvff8F,bike,ποδήλατο,ο,α,ο,α,ου,ων,neuter,transport,,
33,IR*l2k2)$j,bird,πουλί,ί,ιά,ί,ιά,ιού,ιών,neuter,animal,,
34,WRBlrCNcCB,blackberry,μπατόμουρο,ο,α,ο,α,ου,ων,neuter,food,fruit,
35,lT9~gdUJ>F,blanket,κουβέρτα,α,ες,α,ες,ας,ών,feminine,home,area,bedroom
36,H_FwPM<|Ha,blouse,μπλούζα,α,ες,α,ες,ας,ών,feminine,clothing,,
37,My>D-PbltI,board,πίνακας,ας,ες,α,ες,α,ων,masculine,school,,
38,oDknamN7Tx,body,σώμα,α,ατα,α,ατα,ατος,άτων,neuter,body,,
39,A7AOdpF5hL,bone,κόκκαλο,ο,α,ο,α,ου,ων,neuter,body,,
40,w#}~Uyy1c4,book,βιβλίο,ο,α,ο,α,ου,ων,neuter,school,,
41,g^mW#sr.x&,boot,μπότα,α,ες,α,ες,ας,ών,feminine,clothing,,
42,shRce4$#Z/,bowl,μπολ,-,-,-,-,-,-,neuter,home,area,kitchen
43,xeE;_B-1IO,box,κουτί,ί,ιά,ί,ιά,ιού,ιών,neuter,home,area,bedroom
44,tE+DIcx6Vf,boy,αγόρι,ι,ια,ι,ια,ιού,ιών,neuter,person,,
45,wXfsgQSs-%,bread,ψωμί,ί,ιά,ί,ιά,ιού,ιών,neuter,food,,
46,vTdPoSYIqT,breakfast,πρωινό,ό,ά,ό,ά,ού,ών,neuter,food,,
47,MMTZCkpJZD,brick,τούβλο,ο,α,ο,α,ου,ων,neuter,,,
48,VHyJCifCYE,bridge,γέφυρα,α,ες,α,ες,ας,ών,feminine,city,,
49,DuxaYMppJK,broccoli ,μπρόκολο,ο,α,ο,α,ου,ων,neuter,food,vegetables,
50,wFhTeUgqYp,broom,σκούπα,α,ες,α,ες,ας,ών,feminine,home,,
51,i+efxy`5vd,brother,αδελφός,ός,οί,όν,ούς,ού,ών,masculine,person,,
52,XfMoPWOKf3,bruch,βούρτσα,α,ες,α,ες,ας,ών,feminine,home,,
53,SbnRoe7QlA,bucket,κουβάς,άς,άδες,ά,άδες,ά,άδων,masculine,home,,
54,RtVXdujQVH,bus,λεωφορείο,ο,α,ο,α,ου,ων,neuter,transport,,
55,arLz12fryb,bus station,σταθμός λεωφορείων,ν,νες,να,νες,νος,νων,masculine,transport,,
56,TqSrIKJnn9,"bush, shrub",θάμνος,ος,οι,ο,ους,ου,ων,masculine,nature,,
57,w6MUgdYWza,butter,βούτυρο,ο,α,ο,α,ου,ων,neuter,food,,
58,qGKaZZINDs,butterfly,πεταλούδα,α,ες,α,ες,ας,ων,feminine,animal,insect,
59,x0Fm0gA3Gl,cabbage,λάχανο,ο,α,ο,α,ου,ων,neuter,food,vegetable,
60,BetVB1LWfy,"canal, channel",κανάλι,ι,ια,ι,ια,ιού,ιών,neuter,city,,
61,z!xlld$lxH,cap/beanie,σκουφί,ί,ιά,ί,ιά,ιού,ιών,neuter,clothing,,
62,bJzEQs3L0e,car,αυτοκίνητο,ο,α,ο,α,ου,ων,neuter,transport,,
63,yRitOc8iec,carrot,καρότο,ο,α,ο,α,ου,ων,neuter,food,vegetables,
64,c0D/(HLlm#,cat,γάτα,α,ες,α,ες,ας,ών,feminine,animal,,
65,gHSUxlvni8,ceiling ,ταβάνι,ι,ια,ι,ια,ιού,ιών,neuter,home,,
66,UtmOz4ukUM,"center, centre",κέντρο,ο,α,ο,α,ου,ων,neuter,city,,
67,r%Fv:X$5N+,chain,αλυσίδα,α,ες,α,ες,ας,ων,feminine,,,
68,LAZ{H5FZUL,chair,καρέκλα,α,ες,α,ες,ας,ών,feminine,school,,
69,"El?Jd_,d8N",cheek,μάγουλο,ο,α,ο,α,ου,ων,neuter,body,,
70,h@=wr@i=R#,cheese,τυρί,ί,ιά,ί,ιά,ιού,ιών,neuter,food,,
71,SDytdzqld6,cherry,κεράσι,ι,ια,ι,ια,ιού,ιών,neuter,food,fruit,
72,u8IL2fYVid,chicken,κότα,α,ες,α,ες,ας,ών,feminine,animal,,
73,ui3~+/WCx9,child,παιδί,ί,ιά,ί,ιά,ιού,ιών,neuter,person,,
74,zby*ceVAP`,chin,σαγόνι,ι,ια,ι,ια,ιού,ιών,neuter,body,,
75,VxttmnrwoG,city,πόλη,ις,εις,ιν,εις,εως,εων,feminine,city,,
76,GnY7qr8j$(,class,τάξη,ις,εις,η,εις,εως,εων,feminine,school,,
77,csvk/6ys55,classroom,αίθουσα,α,ες,α,ες,ας,ών,feminine,school,,
78,k!UZ71d9GX,closet,ντουλάπα,α,ες,α,ες,ας,ών,feminine,home,area,bedroom
79,ZBDMPGWwYW,cloud,σύννεφο,ο,α,ο,α,ου,ων,neuter,nature ,,
80,bTfqUok[[Y,coat,παλτό,ό,ά,ό,ά,ού,ών,neuter,clothing,,
81,bHk/RUPmqw,computer,υπολογιστής,ής,ές,ή,ές,ή,ών,masculine,home,area,livingroom
82,D(Q{`*N5Tw,couch,καναπές,ές,έδες,έ,έδες,έ,έδων,masculine,home,area,livingroom
83,h@r()F4v+D,cousin (f),ξαδέλφη,η,ες,η,ες,ης,ών,feminine,person,,
84,fg@:sZ|;Ir,cousin (m),ξάδελφος,ος,οι,ο,ους,ου,ων,masculine,person,,
85,X0VHNAb1ka,cow,αγελάδα,α,ες,α,ες,ας,ων,feminine,animal,,
86,JUynxyC7Fq,cucumber ,αγγούρι,ι,ια,ι,ια,ιού,ιών,neuter,food,vegetables,
87,nPryn5}1Z5,cup (larger),κούπα,α,ες,α,ες,ας,-,feminine,home,area,kitchen
88,d%[pz2@~$o,cup (smaller for tea or coffee),φλιτζάνι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,kitchen
89,"N3H1eLo#,9",curtain,κουρτίνα,α,ες,α,ες,ας,ών,feminine,home,area,bedroom
90,"CR0[,7cDgf",dad,μπαμπάς,άς,άδες,ά,άδες,ά,άδων,masculine,person,,
91,fJzc&ws+77,daughter,κόρη,η,ες,ην,ες,ης,ών,feminine,person,,
92,zHe~yhuf6],December,Δεκέμβριος,ος,οι,ο,ους,ου,ων,masculine,time,months,
93,Lolpppd@_g,desk,θρανίο,ο,α,ο,α,ου,ων,neuter,school,,
94,Fwtd2oMLAE,dining room ,τραπεζαρία,α,ες,α,ες,ας,ών,feminine,home,area,
95,4uLyRehr87,dinner,δείπνο,ο,α,ο,α,ου,ων,neuter,food,,
96,t+d0cl!/(i,dog,σκύλος,ος,οι,ον,ους,ου,ων,masculine,animal,,
97,FX7UYPdUax,donkey,γάιδαρος,ος,οι,ο,ους,ου,ων,masculine,animal,,
98,d]/[DrL;5M,door,πόρτα,α,ες,α,ες,ας,ών,feminine,school,,
99,Qt5RzGlSTO,drain,σιφώνι,ι,ια,ι,ια,ιού,ιών,neuter,home,bathroom,
100,w$^((LwMz!,drawer,συρτάρι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,bedroom
101,gv}sH-Vi3k,dress,φόρεμα,α,ατα,α,ατα,ατος,άτων,neuter,clothing,,
102,fj:MJ#z([+,ear,αυτί,ί,ιά,ί,ιά,ιού,ιών,neuter,body,,
103,^_GDDfT2u,elbow,αγκώνας,ας,ες,α,ες,α,άδων,masculine,body,,
104,J.4})`X0JR,eraser,σβήστρα,α,ες,α,ες,ας,ών,feminine,school,,
105,UNIstSDvQH,evening,βράδυ,υ,ια,υ,ια,ιού,ιών,neuter,time,day,
106,L`NOO[gy0j,eye,μάτι,ι,ια,ι,ια,ιού,ιών,neuter,body,,
107,bFyd+?NS^U,eyebrow,φρύδι,ι,ια,ι,ια,ιού,ιών,neuter,body,,
108,oBd>/X0rp`,eyelash,βλεφαρίδα,α,ες,α,ες,ας,ων,feminine,body,,
109,q$8}kIJxS*,eyelid,βλέφαρο,ο,α,ο,α,ου,ων,neuter,body,,
110,O)](5[!}{&,face,πρόσωπο,ο,α,ο,α,ου,ων,neuter,body,,
111,FzVcq=1~;o,family,οικογένεια,α,ες,α,ες,ας,ών,feminine,person,,
112,"G1#|,5F@tl",father,πατέρας,ρας,ράδες,ρα,ράδες,ρα,ρων,masculine,person,,
113,"qqYv=!Jk-,",father-in-law,πεθερός,ός,οί,ό,ούς,ού,ών,masculine,person,,
114,SfsGPW293V,faucet,βρύση,η,εις,η,εις,ης,εων,feminine,home,area,bathroom
115,Q[`e-K2s|.,February,Φεβρουάριος,ος,οι,ο,ους,ου,ων,masculine,time,months,
116,f1XLxbhxng,ferry,πορθμείο,ο,α,ο,α,ου,ων,neuter,transport,,
117,jNCvKPg!X8,finger/toe,δάχτυλο,ο,α,ο,α,ου,ων,neuter,body,,
118,teNmzWpIri,fire station,πυροσβεστικός σταθμός,ός,οί,ό,ούς,ού,ών,masculine,city,buildings,
119,ro5wnp9i67,fish,ψάρι,ι,ια,ι,ια,ιού,ιών,neuter,food,,
120,d%FA&nM@@X,flip-flop,σαγιονάρα,α,ες,α,ες,ας,ών,feminine,clothing,,
121,2Nan5VnjrL,floor of a room,πάτωμα,α,ατα,α,ατα,ατος,άτων,neuter,home,,
122,QlFOF6Wjk8,flower,λουλούδι,ι,ια,ι,ια,ιού,ιών,neuter,nature,,
123,BdqwOablcv,fog,ομίχλη,η,ες,η,ες,ης,ών,feminine,nature,weather,
124,iT6<6/Vef2,forehead,μέτωπο,ο,α,ο,α,ου,ων,neuter,body,,
125,DRlai9Nzs4,forest,δάσος,ος,η,ος,η,ους,ών,masculine,nature,,
126,"zrDY[,S,RU",fork,πιρούνι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,kitchen
127,*[0\5vrn{Q,freezer,κατάψυξη,η,εις,η,εις,ης,εων,feminine,home,area,kitchen
128,yXxG8R4|cz,friday,παρασκευή,ή,ές,ή,ές,ής,ών,feminine,time,days,
129,"jX6^>28kK,",friend (f),φίλη,η,ες,η,ες,ης,ων,feminine,person,,
130,fVlFeB%k@{,friend (m),φίλος,ος,οι,ο,ους,ου,ων,masculine,person,,
131,DVuyAHzlpl,garden,κήπος,ος,οι,ο,ους,ου,ων,masculine,home,area,
132,t4GYv4nwK3,garlic,σκόρδο,ο,α,ο,α,ου,ων,neuter,food,vegetables,
133,{P+tn-tW+,girl (older),κοπέλα,α,ες,α,ες,ας,-,feminine,person,,
134,Eo6cG(ZcP~,girl (young),κορίτσι,ι,ια,ι,ια,ιού,ιών,neuter,person,,
135,yU)Sdu5UV%,glass,ποτήρι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,kitchen
136,cK2`b-wj-k,glasses,γυαλιά,ά,ές,ά,ές,άς,ών,feminine,clothing,,
137,sdTwV/e}J_,glove,γάντι,ι,ια,ι,ια,ιού,ιών,neuter,clothing,,
138,K7Qn=]AQ^M,glue,κόλλα,α,ες,α,ες,ας,ών,feminine,school,,
139,g1)oB:]5x/,granddaughter,εγγονή,ή,ές,ή,ές,ής,ών,feminine,person,,
140,Nns?(@|>Dz,grandfather,παππούς,ύς,ύδες,ύ,ύδες,ύ,ύδων,masculine,person,,
141,QbN_gN5%Y1,grandmother,γιαγιά,ά,ές,ά,ές,άς,άδων,feminine,person,,
142,zf)(vn~H=d,grandson,εγγονός,ός,οί,ό,ούς,ού,ών,masculine,person,,
143,TRvthID1CQ,grape,σταφύλι,ι,ια,ι,ια,ιού,ιών,neuter,food,fruit,
144,"lY,^[Nz9xg","gum, rubber",γόμα,α,ες,α,ες,ας,ών,feminine,school,,
145,h!c[fFCUE^,hair (single stran),μαλλί,ί,ιά,ί,ιά,ιού,ών,neuter,body,,
146,vacjJGFXPt,hallway ,διάδρομος,ος,οι,ο,ους,ου,ων,masculine,home,area,
147,iHCJ&uCw*J,hand/arm,χέρι,ι,ια,ι,ια,ιού,ιών,neuter,body,,
148,kMEE?NH2*^,hat,καπέλο,ο,α,ο,α,ου,ων,neuter,clothing,,
149,N=GM2~4Sp/,head,κεφάλι,ι,ια,ι,ια,ιού,ιών,neuter,body,,
150,u*z@jxeTpg,heavy jacket,μπουφάν,-,-,-,-,-,-,neuter,clothing,,
151,JLbN:1;*LG,heel (foot),φτέρνα,α,ες,α,ες,ας,ών,feminine,body,,
152,cDzk#U4>_V,heel (shoe),τακούνι,ι,ια,ι,ια,ιού,ιών,neuter,clothing,,
153,FFZShXfRlJ,hill,λόφος,ος,οι,ο,ους,ου,ων,masculine,nature,,
154,fr(EW-:Un:,horse,άλογο,ο,α,ο,α,ου,ων,neuter,animal,,
155,Flf9Kp6ftW,hotel,ξενοδοχείο,ο,α,ο,α,ου,ων,neuter,city,buildings,
156,N3ToOG4u)P,jacket,ζακέτα,α,ες,α,ες,ας,ών,feminine,clothing,,
157,u{uL<9C4YQ,January,Ιανουάριος,ος,οι,ο,ους,ου,ων,masculine,time,months,
